id, name, latitude, longitude, address, area, city,cost,Cost_Type, rating,rating_type, homedelivery, smoking, alcohol, wifi, valetparking, rooftop  
491,Copa,19.11,72.83,"Anna Building, 13th road, OppositeJuhuGymkhana, Juhu, Mumbai",Juhu, Mumbai,"  ? 1,500.00  ", Budget Friendly ,3.70,Very Good,no,yes,yes,no,yes,no
492,La Folie Lab,19.06,72.83,"Hill Road, Bandra West1, Ground Floor, Libra Towers, Opposite St.Peter's Church,","Hill Road, Bandra West", Mumbai,  ? 800.00  , Budget Friendly ,4.10,Very Good,yes,yes,no,yes,no,no
493,Naaz Hotel,19.08,72.89,"Kantaria Mahal, LBS Road, Opposite Mukund Iron Limited,Kurla, Mumbai",Kurla, Mumbai,  ? 800.00  , Budget Friendly ,3.80,Very Good,yes,no,no,no,no,no
494,The Post Office Bistro & Bar,19.34,72.81,"Pam Infrastructure, Near ChimajiAppa Ground, Behind S T Depot,VasaiGaon, Vasai, Mumbai",Vasai, Mumbai,  ? 700.00  , Budget Friendly ,4.50,Very Good,no,no,yes,yes,no,no
495,Barbeque Nation,19.09,72.89,"2nd Floor, Phoenix Paragon Plaza,Kurla, Mumbai",Kurla, Mumbai,"  ? 1,900.00  ", Moderate ,4.10,Very Good,no,no,yes,no,no,no
496,Chili's American Grill & Bar,19.09,72.89,"UG-46, Upper Ground Floor, Phoenix Marketcity Mall, LBS Road,Kurla, Mumbai",Kurla, Mumbai,"  ? 1,800.00  ", Moderate ,4.40,Very Good,no,yes,yes,no,no,no
497,Harry's Bar + Cafe,19.09,72.89,"F 41, Phoenix Market City, LBS Marg,Kurla, Mumbai",Kurla, Mumbai,"  ? 1,300.00  ", Budget Friendly ,3.70,Very Good,yes,yes,yes,no,yes,no
498,Rainforest Resto-Bar,19.09,72.89,"3, Phoenix Market City, LBS Road,Kurla, Mumbai",Kurla, Mumbai,"  ? 1,800.00  ", Moderate ,3.70,Very Good,yes,yes,yes,no,no,no
499,Pop Tate's,19.09,72.89,"Phoenix Market City, LBS Marg,Kurla, Mumbai",Kurla, Mumbai,"  ? 1,600.00  ", Moderate ,3.70,Very Good,no,no,yes,no,no,no
500,Coffee Culture,19.09,72.89,"38-39, 2nd Floor, Phoenix Market City,Kurla, Mumbai",Kurla, Mumbai,  ? 700.00  , Budget Friendly ,3.80,Very Good,no,no,no,no,no,no
501,The Irish House,19.09,72.89,"Level 1, Phoenix Market City Mall, LBS Road,Kurla, Mumbai",Kurla, Mumbai,"  ? 1,900.00  ", Moderate ,4.00,Very Good,no,yes,yes,no,no,no
502,Amoeba Sports Bar,19.09,72.89,"F 33, 1st Floor, Phoenix Market City, LBS Marg,Kurla, Mumbai",Kurla, Mumbai,"  ? 1,100.00  ", Budget Friendly ,3.80,Very Good,no,no,yes,no,no,no
503,Punjab Grill,19.09,72.89,"Shop 81/82, 1st Floor, Kamai Junction,Kurla, Mumbai",Kurla, Mumbai,"  ? 1,600.00  ", Moderate ,4.10,Very Good,yes,no,yes,yes,no,no
504,Wow! Momo,19.09,72.89,"Unit No SFC 6, Second Floor Foodcourt, Phoenix Market City Mall, LBS Road,Kurla, Mumbai",Kurla, Mumbai,  ? 300.00  , Budget Friendly ,3.20,Good,yes,no,no,no,no,no
505,Eat Around the Corner,19.06,72.83,"Pali Hill, Bandra West24th & 30th Road Junction, Opposite St Theresa's Boys High School, TPS III,","Pali Hill, Bandra West", Mumbai,"  ? 1,100.00  ", Budget Friendly ,3.80,Very Good,yes,no,no,no,no,no
506,Gateway Taproom,19.06,72.86,"Godrej BKC, Unit 3, Plot C - 68, G Block,Bandra Kurla Complex, Mumbai",Bandra Kurla Complex, Mumbai,"  ? 2,200.00  ", Moderate ,4.20,Very Good,no,yes,yes,yes,yes,no
507,RISO,18.99,72.83,"Gala 1, Janta Industrial Estate, Opposite High Street Phoenix Mall, SB Road,Lower Parel, Mumbai",Lower Parel, Mumbai,"  ? 1,400.00  ", Budget Friendly ,3.90,Very Good,yes,no,no,no,no,no
508,Talli - The Unrefined Lounge,19.24,72.97,"Manpada, Thane WestI-9, 27 Acre, Kothari Compound, Tikku Ji Ni Wadi Road,","Manpada, Thane West", Mumbai,"  ? 1,000.00  ", Budget Friendly ,3.80,Very Good,yes,yes,yes,yes,yes,no
509,Swati Snacks,18.97,72.81,"248, Karai Estate, Opposite Bhatia Hospital,TardeoRoad, Tardeo, Mumbai",Tardeo, Mumbai,  ? 800.00  , Budget Friendly ,4.00,Very Good,yes,no,no,no,no,no
510,Thangabali,19.03,72.84,"Shop 3/4/5, Ground Floor, Manmohan Bhavan, Takandas Kataria Marg,Mahim, Mumbai",Mahim, Mumbai,  ? 800.00  , Budget Friendly ,3.90,Very Good,yes,no,no,no,yes,no
511,Terttulia,19.03,72.84,"Ground Floor, Hotel Parkway, Off Cadell Road,Shivaji Park, Sea Face Road,Dadar Shivaji Park, Mumbai",Dadar Shivaji Park, Mumbai,"  ? 1,400.00  ", Budget Friendly ,4.10,Very Good,no,no,yes,no,no,no
512,Oye Teri - The Kulcha Kulture,19.22,72.85,"4, Rajda Nagar, Shimpoli Road, Near Mega Party Hall,Borivali West, Mumbai",Borivali West, Mumbai,  ? 500.00  , Budget Friendly ,3.60,Very Good,no,no,no,yes,no,no
513,Kath N Ghat,19.20,72.96,"Panch Pakhadi, Thane WestPanch pakadi Service Road, Near Meena Apartment,","Panch Pakhadi, Thane West", Mumbai,"  ? 1,000.00  ", Budget Friendly ,4.00,Very Good,yes,no,no,no,no,no
514,The Bake Room,19.18,72.95,"Shop 28, Vikas Paradise, Bhakti Marg,Mulund West, Mumbai",Mulund West, Mumbai,  ? 800.00  , Budget Friendly ,4.30,Very Good,yes,no,no,yes,no,no
515,Bayview Cafe,18.92,72.83,"Hotel Harbour View, Kerawala Chamber, Opposite Radio Club, 25, J P Ramchandani Marg,Colaba, Mumbai",Colaba, Mumbai,  ? 800.00  , Budget Friendly ,3.60,Very Good,no,no,yes,no,no,no
516,Rainforest Resto-Bar,19.10,72.92,"R City Mall, LBS Marg,Ghatkopar West, Mumbai",Ghatkopar West, Mumbai,"  ? 1,800.00  ", Moderate ,3.60,Very Good,yes,no,yes,no,no,no
517,The Hood,19.18,72.84,"Opposite Goregaon Sports Club, Near Infinity Mall II, Malad Link Road,Malad West, Mumbai",Malad West, Mumbai,"  ? 1,100.00  ", Budget Friendly ,3.90,Very Good,yes,no,yes,yes,no,no
518,Le Pain Quotidien,19.12,72.91,"Hotel Rodas, Central Avenue, Hiranandani Gardens,Powai, Mumbai",Powai, Mumbai,"  ? 2,000.00  ", Moderate ,4.10,Very Good,yes,yes,yes,yes,no,no
519,Jai Jawan,19.06,72.83,"Linking Road, Bandra WestOpposite National College, Next to Chappal Market,","Linking Road, Bandra West", Mumbai,  ? 600.00  , Budget Friendly ,4.20,Very Good,no,no,no,no,no,no
520,Home Deli,19.01,72.83,"150, Mankar Building, NearPrabhadeviTemple, Prabhadevi, Mumbai",Prabhadevi, Mumbai,  ? 700.00  , Budget Friendly ,3.70,Very Good,yes,no,no,no,no,no
521,Sudama - All Veg,18.96,72.81,"Krishna Palace Hotel, 96/98, Sleater Road, Nana Chowk,Grant Road, Mumbai",Grant Road, Mumbai,  ? 800.00  , Budget Friendly ,3.90,Very Good,yes,no,no,no,yes,no
522,Backstage Cafe,19.13,72.83,"Mhada Road Junction, Before Versova Telephone Exchange,4 Bungalows, Mumbai",4 Bungalows, Mumbai,"  ? 1,200.00  ", Budget Friendly ,3.60,Very Good,yes,yes,yes,no,yes,no
523,Cafe 123,19.05,72.83,"Reclamation, Bandra West13, Building 3, Candies Lane, Opposite Lilavati Photo,","Reclamation, Bandra West", Mumbai,"  ? 1,000.00  ", Budget Friendly ,3.80,Very Good,yes,yes,no,yes,no,no
524,Rajdhani,19.10,72.92,"3rd Floor, R City Mall, LBS Marg,Ghatkopar West, Mumbai",Ghatkopar West, Mumbai,  ? 950.00  , Budget Friendly ,3.70,Very Good,yes,no,no,no,no,no
525,Three Chicks and A Bear,19.00,72.83,"Lodha Supremus, Survey 453, Senapati Bapat Marg, Railway Colony,Lower Parel, Mumbai",Lower Parel, Mumbai,  ? 800.00  , Budget Friendly ,4.20,Very Good,no,no,no,no,no,no
526,Above & Beyond,19.12,72.86,"Ramanna Compound, Opposite Apollo Clinic,MahakaliCaves Road, Mahakali, Mumbai",Mahakali, Mumbai,  ? 900.00  , Budget Friendly ,3.90,Very Good,no,yes,no,no,no,no
527,Amuse,19.18,72.84,"Next to Hyundai Showroom, Near Vijay Industrial Estate, Link Road,Malad West, Mumbai",Malad West, Mumbai,"  ? 1,200.00  ", Budget Friendly ,3.90,Very Good,no,yes,yes,no,yes,no
528,K. Rustom Ice Cream,18.93,72.83,"87 Stadium House, Opposite Ambassador Hotel, Veer Nariman Road,Churchgate, Mumbai",Churchgate, Mumbai,  ? 150.00  , Budget Friendly ,4.30,Very Good,no,no,no,no,no,no
529,Crystal,18.96,72.81,"19, Easter Emporium, Near Wilson College,Chowpatty, Mumbai",Chowpatty, Mumbai,  ? 250.00  , Budget Friendly ,4.20,Very Good,no,no,no,no,no,no
530,Cheelizza,19.21,72.84,"36, Ground Floor, Raj Arcade, Near Jain Temple, Mahavir Nagar,Kandivali West, Mumbai",Kandivali West, Mumbai,  ? 500.00  , Budget Friendly ,3.80,Very Good,yes,no,no,no,no,no
531,Black Haven,19.23,72.85,"Floor 4, Emperor Building, Babhai Naka Junction, L.T Road,Borivali West, Mumbai",Borivali West, Mumbai,"  ? 1,400.00  ", Budget Friendly ,3.40,Good,no,yes,yes,no,yes,no
532,The Serial Griller,19.12,72.83,"Vibhavari Building, N Dutta Marg,4 Bungalows, Mumbai 4 Bunglows",4 Bungalows, Mumbai,  ? 600.00  , Budget Friendly ,4.40,Very Good,yes,no,no,no,no,no
533,Goa Portuguesa,19.03,72.84,"Goa Portuguesa Restobar, Nr. Hinduja Hospital, Matunga (W),Mahim, Mumbai",Mahim, Mumbai,"  ? 1,300.00  ", Budget Friendly ,4.10,Very Good,yes,yes,yes,no,yes,no
534,Argileh,19.07,72.84,"Rooftop, Bhavya Plaza, 5th Street Road, NearKharStation, Khar West, Khar, Mumbai",Khar, Mumbai,"  ? 1,100.00  ", Budget Friendly ,3.70,Very Good,no,yes,yes,no,yes,yes
535,The United Sports Bar & Grill,19.10,72.92,"Ground Floor, R City Mall, LBS Marg,Ghatkopar West, Mumbai",Ghatkopar West, Mumbai,"  ? 1,600.00  ", Moderate ,3.70,Very Good,yes,yes,yes,no,no,no
536,Kill No Kalorie,19.19,72.97,"Naupada, Thane WestShop 8, Kulkarni CHS Building, Ghantali Devi Road,","Naupada, Thane West", Mumbai,  ? 750.00  , Budget Friendly ,4.60,Excellent,yes,no,no,yes,no,no
537,St. Anthony's,19.20,72.98,"Khopat, Thane WestGala No 1 + 2, Kalika Towers, Kolbad Road,","Khopat, Thane West", Mumbai,  ? 600.00  , Budget Friendly ,4.00,Very Good,yes,no,no,no,no,no
538,The Bagel Shop,19.06,72.82,"Carter Road, Bandra West30, Pali Mala Road,","Carter Road, Bandra West", Mumbai,  ? 900.00  , Budget Friendly ,3.90,Very Good,yes,yes,no,yes,no,no
539,Corniche - At The Waterfront,19.07,72.82,"Carter Road, Bandra WestB 15, Gagangiri CHS,","Carter Road, Bandra West", Mumbai,"  ? 1,800.00  ", Moderate ,3.50,Good,no,no,yes,no,yes,no
540,Royale Masterchef Finedine and Bar,19.26,72.85,"Gagangiri Building, Near New Flyover,  Kanderpada,Dahisar West, Mumbai",Dahisar West, Mumbai,"  ? 1,700.00  ", Moderate ,3.70,Very Good,yes,yes,yes,no,yes,no
541,Soam,18.96,72.81,"Ground Floor, Sadguru Sadan, Opposite Babulnath Temple,Chowpatty, Mumbai",Chowpatty, Mumbai,  ? 700.00  , Budget Friendly ,3.90,Very Good,yes,no,no,no,yes,no
542,Kuai Kitchen,18.92,72.83,"16/A, Cusrow Baug, Shahid Bhagat Singh Road,Colaba, Mumbai",Colaba, Mumbai,"  ? 1,500.00  ", Budget Friendly ,4.20,Very Good,yes,no,no,no,no,no
543,Food And Taste Theory,19.07,72.91,"Unit 12-13,C-15, Vikrant Building, Vikrant Circle,Jhulelal Chowk,Ghatkopar East, Mumbai",Ghatkopar East, Mumbai,  ? 800.00  , Budget Friendly ,4.40,Very Good,yes,no,no,no,no,no
544,Mantra Dining Bar,19.12,72.91,"Ground Floor,PowaiPlaza, Powai, Mumbai",Powai, Mumbai,"  ? 2,000.00  ", Moderate ,3.80,Very Good,yes,no,yes,no,no,no
545,Popular,19.01,72.83,"Saurabh Building, Near Deepak Cinema, NM Joshi Marg,Lower Parel, Mumbai",Lower Parel, Mumbai,  ? 350.00  , Budget Friendly ,3.90,Very Good,yes,no,no,no,no,no
546,Utsav Restaurant,19.21,72.97,"Majiwada, Thane WestOpposite Eastern Express Highway, Runwal Nagar,","Majiwada, Thane West", Mumbai,  ? 350.00  , Budget Friendly ,3.60,Very Good,no,no,no,no,no,no
547,Melting Pot,19.10,72.83,"JuhuResidency Boutique Hotel, 148 B, Juhu Tara Road, Juhu, Mumbai",Juhu, Mumbai,"  ? 1,900.00  ", Moderate ,4.00,Very Good,yes,no,yes,yes,no,no
548,Stir Fry Grill,19.18,72.84,"Near Toyata Showroom, Malad Link Road,Malad West, Mumbai",Malad West, Mumbai,  ? 850.00  , Budget Friendly ,4.10,Very Good,yes,no,no,no,no,no
549,Ferry Wharf,19.05,72.83,"Reclamation, Bandra WestUnit 11, 12, Building 3, ONGC Lane, Opposite Lilavati Hospital,","Reclamation, Bandra West", Mumbai,"  ? 1,500.00  ", Budget Friendly ,3.90,Very Good,no,no,no,no,yes,no
550,Chenab,19.08,72.99,"133 A, Near Sagar Vihar, Sector 8,Vashi, Navi Mumbai",Vashi, Mumbai,"  ? 1,200.00  ", Budget Friendly ,3.50,Good,yes,no,yes,no,yes,yes
551,Chocolateria San Churro,19.06,72.83,"Linking Road, Bandra West11, Silver Pearl, Waterfield Road,","Linking Road, Bandra West", Mumbai,  ? 800.00  , Budget Friendly ,4.30,Very Good,no,no,no,yes,yes,no
552,Birista - Biryanis & Kebabs,19.01,73.03,"Shop 12, Bhramma, Plot 53, Opposite Bhoomi Mall, Palm Beach Road, Sector-15,CBD-Belapur, Navi Mumbai",CBD-Belapur, Mumbai,  ? 600.00  , Budget Friendly ,4.40,Very Good,yes,no,no,no,no,no
553,MYXX,19.11,72.83,"Ground Floor, Navratan Apartment, A.B. Nair Road, NearJuhuPost Office, Juhu, Mumbai",Juhu, Mumbai,"  ? 2,700.00  ", Moderate ,4.00,Very Good,no,yes,yes,yes,yes,no
554,Silver Beach Cafe,19.11,72.82,"Jaldarshan Building, Near Hare Rama Hare Krishna Temple, Gandhi Gram Road,Juhu, Mumbai",Juhu, Mumbai,"  ? 2,000.00  ", Moderate ,3.90,Very Good,yes,no,yes,no,no,no
555,Icecream Factory & Shahi Durbar,19.16,72.95,"G18 R Galleria, Runwal Greens Next To Fortis Hospital, Goregaon,Mulund West, Mumbai",Mulund West, Mumbai,  ? 400.00  , Budget Friendly ,3.70,Very Good,no,no,no,no,no,no
556,The London Shakes,19.08,72.90,"Khau Galli,Ghatkopar East, Mumbai",Ghatkopar East, Mumbai,  ? 400.00  , Budget Friendly ,3.40,Good,no,no,no,no,no,no
557,Mainland China,19.12,72.91,"City Park, Floor 1, Central Avenue, Near D Mart, Hiranandani Business Park,Powai, Mumbai",Powai, Mumbai,"  ? 1,800.00  ", Moderate ,3.90,Very Good,yes,no,yes,no,no,no
558,Cafe Churchill,18.92,72.83,"East West Court Building, Opposite Cusrow Baug, Shahid Bhagat Singh Road,Colaba, Mumbai",Colaba, Mumbai,"  ? 1,200.00  ", Budget Friendly ,4.10,Very Good,yes,no,no,no,no,no
559,B Bhagat Tarachand,18.95,72.83,"69/75, Mumbadevi Commercial Center, Zaveri Bazar,Marine Lines, Mumbai",Marine Lines, Mumbai,  ? 550.00  , Budget Friendly ,3.90,Very Good,yes,no,no,no,no,no
560,1 BHK - Brew House Kitchen,18.95,72.83,"Oshiwara, Andheri WestGround Floor, Next to Meera Towers, BST Colony Road,","Oshiwara, Andheri West", Mumbai,"  ? 1,000.00  ", Budget Friendly ,3.40,Good,no,no,no,no,no,no
561,Pair A Dice Cafe,19.15,72.83,"Unit 53, 1st Floor, Oshiwara Link Plaza, New Link Road,Oshiwara, Andheri WestLandmark: above Firebowl resturant","Oshiwara, Andheri West", Mumbai,  ? 700.00  , Budget Friendly ,4.00,Very Good,yes,no,no,yes,no,no
562,Flag's,19.19,72.84,"SBS Food Court, Asiad CHS, BJ Patel Road, Near Liberty Garden,Malad West, Mumbai",Malad West, Mumbai,"  ? 1,200.00  ", Budget Friendly ,3.70,Very Good,yes,no,no,no,yes,no
563,Barworks Eatery & Bar,19.17,73.00,"Liberty Towers, Next to Reliable Plaza,Thane Belapur Road,Airoli, Navi Mumbai",Airoli, Mumbai,"  ? 1,600.00  ", Moderate ,3.70,Very Good,yes,yes,yes,yes,yes,no
564,24 Lounge & Bistro,19.07,72.84,"Empressa Building, 2nd Road, Near Hotel Jewel Palace,KharWest, Khar, Mumbai",Khar, Mumbai,"  ? 1,250.00  ", Budget Friendly ,4.10,Very Good,no,yes,no,no,yes,no
565,Northern Tadka,19.19,72.83,"Jagdamba Complex, Above Jugheads, New Link Road,Malad West, Mumbai",Malad West, Mumbai,"  ? 1,000.00  ", Budget Friendly ,3.70,Very Good,yes,yes,yes,no,yes,no
566,Jimmy Boy,18.93,72.83,"Vikas Building, 11 Bank Street, Off Horniman Circle, Lane opposite cheetah gate,Fort, Mumbai",Fort, Mumbai,  ? 800.00  , Budget Friendly ,3.80,Very Good,yes,no,no,no,no,no
567,Gokul,18.92,72.83,"10, Tullock Road, Apollo Bunder,Colaba, Mumbai",Colaba, Mumbai,"  ? 1,200.00  ", Budget Friendly ,3.40,Good,no,no,yes,no,no,no
568,Cakes N Chemistry,19.18,72.94,"Shop 5, Meghal Industrial Estate, Devidayal Road,Mulund West, Mumbai",Mulund West, Mumbai,  ? 550.00  , Budget Friendly ,4.60,Excellent,yes,no,no,yes,no,no
569,The Cafe Cabana,19.08,73.01,"3rd Floor, Sector 19 C, Plot 25, Next to Satara Plaza, Palm Beach Road,Vashi, Navi Mumbai",Vashi, Mumbai,  ? 650.00  , Budget Friendly ,4.30,Very Good,no,yes,yes,yes,no,yes
570,Live It Up,19.08,73.01,"Shop 59, Satra Plaza, Behind Mercedes Showroom, Sector 19D, Palm Beach Road,Vashi, Navi Mumbai",Vashi, Mumbai,"  ? 1,000.00  ", Budget Friendly ,3.70,Very Good,no,yes,yes,yes,no,no
571,The Liquor Factory,19.13,72.83,"Andheri Lokhandwala, Andheri WestK-4/129, New Link Rd, Sahayog Nagar, Bhudargarh Colony,","Andheri Lokhandwala, Andheri West", Mumbai,"  ? 1,000.00  ", Budget Friendly ,3.70,Very Good,no,no,yes,yes,yes,no
572,The Hill Green,19.11,72.92,"Unit 2, Kailash Business Park, Powai-VikhroliLink Road, Vikhroli, Mumbai",Vikhroli, Mumbai,"  ? 1,200.00  ", Budget Friendly ,3.60,Very Good,yes,yes,yes,yes,yes,no
573,Silli Chilli,19.14,72.83,"Andheri Lokhandwala, Andheri WestShop 4, Sunswept CHS, Opposite Hazel Salon, Lokhandwala Complex,","Andheri Lokhandwala, Andheri West", Mumbai,  ? 700.00  , Budget Friendly ,3.90,Very Good,yes,no,no,no,no,no
574,Masque,18.99,72.83,"Unit 3, Laxmi Woollen Mills, Shakti Mills Lane, Dr. E Moses Road,Mahalaxmi, Mumbai",Mahalaxmi, Mumbai,"  ? 6,500.00  ", Expensive ,4.20,Very Good,no,no,yes,yes,yes,no
575,El Toro,19.05,72.83,"Reclamation, Bandra WestShop 7 & 8, ONGC Lane, Opposite Lilavati Hospital,","Reclamation, Bandra West", Mumbai,"  ? 1,600.00  ", Moderate ,4.10,Very Good,no,yes,yes,yes,no,no
576,The Flip Bar,19.21,72.87,"3rd Floor, Vishnu Shivam Mall, Thakur Village,Kandivali East, Mumbai",Kandivali East, Mumbai,"  ? 1,000.00  ", Budget Friendly ,3.60,Very Good,no,yes,yes,yes,yes,no
577,The Union Bar & Eating House,19.07,73.00,"Plot 10, Nirman Vyapar Kendra, Sector 17,Vashi, Navi Mumbai",Vashi, Mumbai,"  ? 1,200.00  ", Budget Friendly ,3.80,Very Good,yes,yes,yes,no,yes,no
578,Chaitanya,19.02,72.83,"3, chinchh bhatt chawl, opp aagar bazar ,SK Bole Road, Near Siddhivinayak Temple,Dadar West, Mumbai",Dadar West, Mumbai,  ? 600.00  , Budget Friendly ,4.20,Very Good,yes,no,no,no,no,no
579,Dhadoom,19.23,72.85,"Shop 13, Natraj Building, Off Sodawala Lane, Chamunda Circle,Borivali West, Mumbai",Borivali West, Mumbai,  ? 400.00  , Budget Friendly ,4.10,Very Good,yes,no,no,no,no,no
580,Pi Pizzeria,19.07,72.84,"Shop 7, Darvesh Grand, Next to Bharat Bank, 4th Road,Khar, Mumbai",Khar, Mumbai,"  ? 1,500.00  ", Budget Friendly ,4.20,Very Good,yes,no,no,no,no,no
581,Shree Thaker Bhojanalay,18.95,72.83,"31, Dadisheth Agyari Lane, OffKalbadeviRoad, Kalbadevi, Mumbai",Kalbadevi, Mumbai,"  ? 1,200.00  ", Budget Friendly ,4.80,Excellent,no,no,no,no,no,no
582,Ice Cream Factory,19.07,72.82,"Carter Road, Bandra WestB-Wing, Gagangiri Premises,","Carter Road, Bandra West", Mumbai,  ? 300.00  , Budget Friendly ,3.70,Very Good,no,no,no,no,no,no
583,Flipside Burgers & More,19.22,72.87,"Shop 34,36,42 & 43, Ground Floor, Annex Mall, Opposite Dheeraj Enclave Ganpati Mandir,Borivali East, Mumbai, Mumbai",Borivali East, Mumbai,"  ? 1,000.00  ", Budget Friendly ,3.70,Very Good,yes,no,no,yes,no,no
584,The Yoga House,19.07,72.82,"Carter Road, Bandra WestNargis Villa (Water Bungalow), Sherley Rajan Road, Opposite ICICI Bank,","Carter Road, Bandra West", Mumbai,"  ? 1,200.00  ", Budget Friendly ,3.90,Very Good,yes,no,no,no,no,no
585,Cafe 2.0,19.09,73.00,"Shop 24, Manek Complex, Near Health Juice Centre, Sector 29,Vashi, Navi Mumbai",Vashi, Mumbai,  ? 350.00  , Budget Friendly ,3.60,Very Good,no,no,no,yes,no,no
586,LMNOPQ,19.07,72.83,"Shop No. 6, Mangal Bhavana,KharPali Road, Khar, Mumbai",Khar, Mumbai,"  ? 1,200.00  ", Budget Friendly ,3.70,Very Good,yes,no,no,yes,yes,no
587,Lima,19.05,72.85,"2 North Avenue, Maker Maxity,Bandra Kurla Complex, Mumbai",Bandra Kurla Complex, Mumbai,"  ? 2,500.00  ", Moderate ,4.30,Very Good,no,yes,yes,no,yes,no
588,Cafe Haqq Se,19.01,72.83,"Ground Floor, Trade View Building Oasis Complex, Gate 4, Kamala Mills Compound,Lower Parel, Mumbai",Lower Parel, Mumbai,"  ? 2,000.00  ", Moderate ,3.90,Very Good,no,yes,yes,yes,yes,no
589,Bistro at Coffee Break,19.05,72.83,"Bandstand, Bandra West12, 86 , Pearl Haven Apartments, Chapel Road,  Mount Mary,","Bandstand, Bandra West", Mumbai,  ? 700.00  , Budget Friendly ,3.90,Very Good,yes,yes,no,no,no,no
590,Navjeevan,19.05,72.89,"Opposite Navjeevan Society, Samrat Ashok Nagar, R.C. Marg,Chembureast, Mumbai.",Chembur, Mumbai,  ? 450.00  , Budget Friendly ,3.70,Very Good,yes,no,no,no,no,no
591,Mao Family Restaurant,18.94,72.83,"534/536, Opposite Sunlight, Near Metro Theatre, Dhobitalao, Lohar Chawl,Kalbadevi, Mumbai",Kalbadevi, Mumbai,  ? 600.00  , Budget Friendly ,3.50,Good,yes,no,no,no,no,no
592,Tote On The Turf,18.98,72.82,"MahalaxmiRace Course, Gate 5 & 6, Keshav Rao Khadye Marg, Mahalaxmi, Mumbai",Mahalaxmi, Mumbai,"  ? 1,800.00  ", Moderate ,3.60,Very Good,no,no,yes,no,yes,no
593,The Lumber Bar & Co.,19.01,73.04,"Mahavir Icon, Showroom 1/2/3, Plot 89&90, Sector 15,CBD-Belapur, Navi Mumbai",CBD-Belapur, Mumbai,"  ? 1,200.00  ", Budget Friendly ,3.70,Very Good,yes,yes,yes,yes,no,no
594,Spice Republic,19.23,72.85,"Shop 5, Ajanta Estate, Market Road,Borivali West, Mumbai",Borivali West, Mumbai,"  ? 1,000.00  ", Budget Friendly ,4.20,Very Good,yes,no,no,no,yes,no
595,Swati Snacks,18.92,72.82,"Dalamal Tower, Free Press Journal Marg,Nariman Point, Mumbai",Nariman Point, Mumbai,  ? 800.00  , Budget Friendly ,4.30,Very Good,yes,no,no,no,no,no
596,Rainforest Resto-Bar,19.09,72.89,"3, Phoenix Market City, LBS Road,Kurla, Mumbai",Kurla, Mumbai,"  ? 1,800.00  ", Moderate ,3.70,Very Good,yes,yes,yes,no,no,no
597,Rainforest Resto-Bar,19.02,73.04,"16-23, Kukreja Centre, Sector 11, NMMC Building,CBD-BelapurEast, CBD-Belapur, Navi Mumbai",CBD-Belapur, Mumbai,"  ? 1,800.00  ", Moderate ,3.70,Very Good,yes,yes,yes,no,yes,no
598,Zaffran,19.10,72.92,"1st Floor, R City Mall, LBS Marg,Ghatkopar West, Mumbai",Ghatkopar West, Mumbai,"  ? 1,400.00  ", Budget Friendly ,3.50,Good,yes,no,yes,yes,no,no
599,Village - The soul of India,19.10,72.92,"3rd Floor, North Wing, R City Mall, LBS Marg,Ghatkopar West, Mumbai",Ghatkopar West, Mumbai,"  ? 1,000.00  ", Budget Friendly ,3.50,Good,no,no,no,no,no,no
600,Rajdhani,19.10,72.92,"3rd Floor, R City Mall, LBS Marg,Ghatkopar West, Mumbai",Ghatkopar West, Mumbai,  ? 950.00  , Budget Friendly ,3.70,Very Good,yes,no,no,no,no,no
601,Punjab Grill,19.10,72.92,"3rd Floor, R City Mall, LBS Marg,Ghatkopar West, Mumbai",Ghatkopar West, Mumbai,"  ? 1,800.00  ", Moderate ,3.90,Very Good,yes,no,yes,yes,no,no
602,The United Sports Bar & Grill,19.10,72.92,"Ground Floor, R City Mall, LBS Marg,Ghatkopar West, Mumbai",Ghatkopar West, Mumbai,"  ? 1,600.00  ", Moderate ,3.70,Very Good,yes,yes,yes,no,no,no
603,TGI Fridays,19.10,72.92,"Ground Floor, R City Mall, LBS Marg,Ghatkopar West, Mumbai",Ghatkopar West, Mumbai,"  ? 2,500.00  ", Moderate ,3.40,Good,yes,no,yes,no,no,no
604,Urban Tadka,19.10,72.92,"3rd Floor, R City Mall, LBS Marg,Ghatkopar West, Mumbai",Ghatkopar West, Mumbai,"  ? 1,000.00  ", Budget Friendly ,3.80,Very Good,yes,no,yes,no,no,no
605,The Elbo Room,19.07,72.83,"Sant Kutir Apartments, Behind Vijay Sales,KharWest, Off Linking Road, Khar, Mumbai",Khar, Mumbai,"  ? 2,000.00  ", Moderate ,3.50,Good,no,yes,yes,no,yes,no
606,Tea and Conversations,19.18,72.94,"G-3, Meghal Industrial Estate, Devidayal Road, Near Firestation,Mulund West, Mumbai",Mulund West, Mumbai,  ? 600.00  , Budget Friendly ,4.50,Very Good,no,no,no,yes,no,no
607,39B Terrace,18.95,72.81,"39-B,ChowpattySeaface, Chowpatty, Mumbai",Chowpatty, Mumbai,"  ? 1,500.00  ", Budget Friendly ,3.50,Good,no,yes,yes,yes,yes,yes
608,1701 Gastropub,18.95,72.81,"Near Options Mall,Juhu, Mumbai",Juhu, Mumbai,"  ? 1,200.00  ", Budget Friendly ,3.30,Good,no,no,yes,no,no,no
